Geography,Geographic Area Name,Total
0500000US05049,"Fulton County, Arkansas",12102
0500000US05051,"Garland County, Arkansas",97208
0500000US05053,"Grant County, Arkansas",17963
0500000US05055,"Greene County, Arkansas",44261
0500000US05057,"Hempstead County, Arkansas",21417
0500000US05059,"Hot Spring County, Arkansas",31421
0500000US05061,"Howard County, Arkansas",13064
0500000US05063,"Independence County, Arkansas",36483
0500000US05065,"Izard County, Arkansas",12527
0500000US05067,"Jackson County, Arkansas",14237
0500000US05069,"Jefferson County, Arkansas",61785
0500000US05071,"Johnson County, Arkansas",25795
0500000US05073,"Lafayette County, Arkansas",6561
0500000US05075,"Lawrence County, Arkansas",15933
0500000US05077,"Lee County, Arkansas",7351
0500000US05079,"Lincoln County, Arkansas",8231
0500000US05081,"Little River County, Arkansas",12086
0500000US05083,"Logan County, Arkansas",21214
0500000US05085,"Lonoke County, Arkansas",72339
0500000US05087,"Madison County, Arkansas",16279
0500000US05089,"Marion County, Arkansas",16345
0500000US05091,"Miller County, Arkansas",42099
0500000US05093,"Mississippi County, Arkansas",40353
0500000US05095,"Monroe County, Arkansas",6789
0500000US05097,"Montgomery County, Arkansas",8813
0500000US05099,"Nevada County, Arkansas",8042
0500000US05101,"Newton County, Arkansas",7687
0500000US05103,"Ouachita County, Arkansas",23229
0500000US05105,"Perry County, Arkansas",10233
0500000US05107,"Phillips County, Arkansas",18010
0500000US05109,"Pike County, Arkansas",10519
0500000US05111,"Poinsett County, Arkansas",23138
0500000US05113,"Polk County, Arkansas",19695
0500000US05115,"Pope County, Arkansas",60497
0500000US05117,"Prairie County, Arkansas",7935
0500000US05119,"Pulaski County, Arkansas",386131
0500000US05121,"Randolph County, Arkansas",17475
0500000US05123,"St. Francis County, Arkansas",22119
0500000US05125,"Saline County, Arkansas",119263
0500000US05127,"Scott County, Arkansas",10201
0500000US05129,"Searcy County, Arkansas",7789
0500000US05131,"Sebastian County, Arkansas",125802
0500000US05133,"Sevier County, Arkansas",16776
0500000US05135,"Sharp County, Arkansas",16918
0500000US05137,"Stone County, Arkansas",12478
0500000US05139,"Union County, Arkansas",38696
0500000US05141,"Van Buren County, Arkansas",16366
0500000US05143,"Washington County, Arkansas",228178
0500000US05145,"White County, Arkansas",74977
0500000US05147,"Woodruff County, Arkansas",6235
0500000US05149,"Yell County, Arkansas",21117
