"disasterNumber","state","declarationType","fyDeclared","declarationTitle","incidentBeginDate","placeCode","designatedArea","durationInMonths","declarationInMonths","waitingTime"
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99129,"Lee (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99131,"Leslie (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99133,"Letcher (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99153,"Magoffin (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99175,"Morgan (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99189,"Owsley (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99193,"Perry (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99197,"Powell (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99235,"Whitley (County)",0.16,NA,2.73
4711,"KY","DR",2023,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-15,99237,"Wolfe (County)",0.16,NA,2.73
4709,"FL","DR",2023,"SEVERE STORMS, TORNADOES, AND FLOODING",2023-04-12,99011,"Broward (County)",0.07,NA,0.49
4708,"NV","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-03-08,99005,"Douglas (County)",0.36,NA,1.64
4708,"NV","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-03-08,99011,"Eureka (County)",0.36,NA,1.64
4708,"NV","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-03-08,99017,"Lincoln (County)",0.36,NA,1.64
4708,"NV","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-03-08,99019,"Lyon (County)",0.36,NA,1.64
4708,"NV","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-03-08,99021,"Mineral (County)",0.36,NA,1.64
4708,"NV","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-03-08,99029,"Storey (County)",0.36,NA,1.64
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99003,"Alpine (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99007,"Butte (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99011,"Colusa (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99015,"Del Norte (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99017,"El Dorado (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99019,"Fresno (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99021,"Glenn (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99023,"Humboldt (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99027,"Inyo (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99037,"Los Angeles (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99039,"Madera (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99041,"Marin (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99043,"Mariposa (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99055,"Napa (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99057,"Nevada (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99061,"Placer (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99069,"San Benito (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99073,"San Diego (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99075,"San Francisco (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99093,"Siskiyou (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99095,"Solano (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99097,"Sonoma (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99099,"Stanislaus (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99101,"Sutter (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99103,"Tehama (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99105,"Trinity (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99107,"Tulare (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99109,"Tuolumne (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99113,"Yolo (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99001,"Alameda (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99005,"Amador (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99009,"Calaveras (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99013,"Contra Costa (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99045,"Mendocino (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99047,"Merced (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99053,"Monterey (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99067,"Sacramento (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99077,"San Joaquin (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99079,"San Luis Obispo (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99081,"San Mateo (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99083,"Santa Barbara (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99087,"Santa Cruz (County)",1.15,NA,0.59
4683,"CA","DR",2023,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27,99111,"Ventura (County)",1.15,NA,0.59
4681,"AZ","DR",2023,"FLOODING",2022-10-01,31740,"Havasupai Indian Reservation",0.03,NA,2.96
4120,"VT","DR",2013,"SEVERE STORMS AND FLOODING",2013-05-22,99007,"Chittenden (County)",0.13,123.96,0.72
4678,"WV","DR",2023,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-07-12,99047,"McDowell (County)",0.03,NA,4.57
4676,"IL","DR",2023,"SEVERE STORM AND FLOODING",2022-07-25,99163,"St. Clair (County)",0.1,NA,2.66
4667,"AK","DR",2022,"FLOODING",2022-05-08,34665,"Iditarod Area Regional Educational Attendance Area",0.1,NA,3.61
4667,"AK","DR",2022,"FLOODING",2022-05-08,42240,"Kuspuk Regional Educational Attendance Area",0.1,NA,3.61
4667,"AK","DR",2022,"FLOODING",2022-05-08,17365,"Copper River Regional Educational Attendance Area",0.1,NA,3.61
4665,"MO","DR",2022,"SEVERE STORMS AND FLOODING",2022-07-25,99139,"Montgomery (County)",0.1,NA,0.46
4665,"MO","DR",2022,"SEVERE STORMS AND FLOODING",2022-07-25,99183,"St. Charles (County)",0.1,NA,0.46
