Geography,Geographic Area Name,Total
0500000US01001,"Autauga County, Alabama",57790
0500000US01003,"Baldwin County, Alabama",223772
0500000US01005,"Barbour County, Alabama",22250
0500000US01007,"Bibb County, Alabama",21000
0500000US01009,"Blount County, Alabama",58323
0500000US01011,"Bullock County, Alabama",9908
0500000US01013,"Butler County, Alabama",18870
0500000US01015,"Calhoun County, Alabama",113294
0500000US01017,"Chambers County, Alabama",34350
0500000US01019,"Cherokee County, Alabama",24597
0500000US01021,"Chilton County, Alabama",44200
0500000US01023,"Choctaw County, Alabama",12603
0500000US01025,"Clarke County, Alabama",22989
0500000US01027,"Clay County, Alabama",13931
0500000US01029,"Cleburne County, Alabama",14888
0500000US01031,"Coffee County, Alabama",52320
0500000US01033,"Colbert County, Alabama",56225
0500000US01035,"Conecuh County, Alabama",11736
0500000US01037,"Coosa County, Alabama",10065
0500000US01039,"Covington County, Alabama",36814
0500000US01041,"Crenshaw County, Alabama",13060
0500000US01043,"Cullman County, Alabama",86090
0500000US01045,"Dale County, Alabama",47886
0500000US01047,"Dallas County, Alabama",38572
0500000US01049,"DeKalb County, Alabama",70605
0500000US01051,"Elmore County, Alabama",82377
0500000US01053,"Escambia County, Alabama",33973
0500000US01055,"Etowah County, Alabama",102264
0500000US01057,"Fayette County, Alabama",16091
0500000US01059,"Franklin County, Alabama",31660
0500000US01061,"Geneva County, Alabama",26318
0500000US01063,"Greene County, Alabama",7737
0500000US01065,"Hale County, Alabama",14567
0500000US01067,"Henry County, Alabama",16673
0500000US01069,"Houston County, Alabama",105201
0500000US01071,"Jackson County, Alabama",52009
0500000US01073,"Jefferson County, Alabama",657834
0500000US01075,"Lamar County, Alabama",13726
0500000US01077,"Lauderdale County, Alabama",91443
0500000US01079,"Lawrence County, Alabama",32761
0500000US01081,"Lee County, Alabama",166054
0500000US01083,"Limestone County, Alabama",97894
0500000US01085,"Lowndes County, Alabama",10171
0500000US01087,"Macon County, Alabama",17112
0500000US01089,"Madison County, Alabama",372128
0500000US01091,"Marengo County, Alabama",19170
0500000US01093,"Marion County, Alabama",28908
0500000US01095,"Marshall County, Alabama",95947
0500000US01097,"Mobile County, Alabama",408140
0500000US01099,"Monroe County, Alabama",19875
0500000US01101,"Montgomery County, Alabama",221128
0500000US01103,"Morgan County, Alabama",120432
0500000US01105,"Perry County, Alabama",7898
0500000US01107,"Pickens County, Alabama",17568
0500000US01109,"Pike County, Alabama",31414
0500000US01111,"Randolph County, Alabama",21442
0500000US01113,"Russell County, Alabama",57811
0500000US01115,"St. Clair County, Alabama",88343
0500000US01117,"Shelby County, Alabama",217555
0500000US01119,"Sumter County, Alabama",11650
0500000US01121,"Talladega County, Alabama",78167
0500000US01123,"Tallapoosa County, Alabama",40707
0500000US01125,"Tuscaloosa County, Alabama",213541
0500000US01127,"Walker County, Alabama",63885
0500000US01129,"Washington County, Alabama",15441
0500000US01131,"Wilcox County, Alabama",10447
0500000US01133,"Winston County, Alabama",23263
0500000US02013,"Aleutians East Borough, Alaska",3395
0500000US02016,"Aleutians West Census Area, Alaska",4973
0500000US02020,"Anchorage Municipality, Alaska",286144
0500000US02050,"Bethel Census Area, Alaska",18166
0500000US02060,"Bristol Bay Borough, Alaska",825
0500000US02063,"Chugach Census Area, Alaska",6912
0500000US02066,"Copper River Census Area, Alaska",2619
0500000US02068,"Denali Borough, Alaska",2126
0500000US02070,"Dillingham Census Area, Alaska",4855
0500000US02090,"Fairbanks North Star Borough, Alaska",93048
0500000US02100,"Haines Borough, Alaska",2072
0500000US02105,"Hoonah-Angoon Census Area, Alaska",2326
0500000US02110,"Juneau City and Borough, Alaska",31813
0500000US02122,"Kenai Peninsula Borough, Alaska",57538
0500000US02130,"Ketchikan Gateway Borough, Alaska",13778
0500000US02150,"Kodiak Island Borough, Alaska",12960
0500000US02158,"Kusilvak Census Area, Alaska",8274
0500000US02164,"Lake and Peninsula Borough, Alaska",974
0500000US02170,"Matanuska-Susitna Borough, Alaska",104517
0500000US02180,"Nome Census Area, Alaska",9685
0500000US02185,"North Slope Borough, Alaska",10668
0500000US02188,"Northwest Arctic Borough, Alaska",7706
0500000US02195,"Petersburg Borough, Alaska",3355
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",5833
0500000US02220,"Sitka City and Borough, Alaska",8335
0500000US02230,"Skagway Municipality, Alaska",1329
0500000US02240,"Southeast Fairbanks Census Area, Alaska",6776
0500000US02275,"Wrangell City and Borough, Alaska",2141
0500000US02282,"Yakutat City and Borough, Alaska",562
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",5381
0500000US04001,"Apache County, Arizona",65161
0500000US04003,"Cochise County, Arizona",118514
0500000US04005,"Coconino County, Arizona",131883
0500000US04007,"Gila County, Arizona",52130
0500000US04009,"Graham County, Arizona",34754
0500000US04011,"Greenlee County, Arizona",9479
0500000US04012,"La Paz County, Arizona",16499
0500000US04013,"Maricopa County, Arizona",4308734
0500000US04015,"Mohave County, Arizona",207762
0500000US04017,"Navajo County, Arizona",103723
0500000US04019,"Pima County, Arizona",1007434
0500000US04021,"Pinal County, Arizona",397347
0500000US04023,"Santa Cruz County, Arizona",47204
0500000US04025,"Yavapai County, Arizona",229192
0500000US04027,"Yuma County, Arizona",196465
0500000US05001,"Arkansas County, Arkansas",16997
0500000US05003,"Ashley County, Arkansas",19217
0500000US05005,"Baxter County, Arkansas",41023
0500000US05007,"Benton County, Arkansas",275459
0500000US05009,"Boone County, Arkansas",36840
0500000US05011,"Bradley County, Arkansas",10503
0500000US05013,"Calhoun County, Arkansas",4687
0500000US05015,"Carroll County, Arkansas",27856
0500000US05017,"Chicot County, Arkansas",9786
0500000US05019,"Clark County, Arkansas",19279
0500000US05021,"Clay County, Arkansas",14527
0500000US05023,"Cleburne County, Arkansas",24543
0500000US05025,"Cleveland County, Arkansas",7554
0500000US05027,"Columbia County, Arkansas",21137
0500000US05029,"Conway County, Arkansas",20565
0500000US05031,"Craighead County, Arkansas",106022
0500000US05033,"Crawford County, Arkansas",59567
0500000US05035,"Crittenden County, Arkansas",47618
0500000US05037,"Cross County, Arkansas",16694
0500000US05039,"Dallas County, Arkansas",6007
0500000US05041,"Desha County, Arkansas",11447
0500000US05043,"Drew County, Arkansas",16544
0500000US05045,"Faulkner County, Arkansas",118237
0500000US05047,"Franklin County, Arkansas",16890
0500000US05049,"Fulton County, Arkansas",11892
0500000US05051,"Garland County, Arkansas",98150
0500000US05053,"Grant County, Arkansas",17669
0500000US05055,"Greene County, Arkansas",44755
0500000US05057,"Hempstead County, Arkansas",20090
0500000US05059,"Hot Spring County, Arkansas",30929
0500000US05061,"Howard County, Arkansas",12724
0500000US05063,"Independence County, Arkansas",36789
0500000US05065,"Izard County, Arkansas",12645
0500000US05067,"Jackson County, Arkansas",14710
0500000US05069,"Jefferson County, Arkansas",62225
0500000US05071,"Johnson County, Arkansas",25160
0500000US05073,"Lafayette County, Arkansas",6230
0500000US05075,"Lawrence County, Arkansas",15786
0500000US05077,"Lee County, Arkansas",7320
0500000US05079,"Lincoln County, Arkansas",8330
0500000US05081,"Little River County, Arkansas",11881
0500000US05083,"Logan County, Arkansas",20991
0500000US05085,"Lonoke County, Arkansas",73066
0500000US05087,"Madison County, Arkansas",16382
0500000US05089,"Marion County, Arkansas",16586
0500000US05091,"Miller County, Arkansas",41571
0500000US05093,"Mississippi County, Arkansas",40003
0500000US05095,"Monroe County, Arkansas",6812
0500000US05097,"Montgomery County, Arkansas",8397
0500000US05099,"Nevada County, Arkansas",8164
0500000US05101,"Newton County, Arkansas",7288
0500000US05103,"Ouachita County, Arkansas",22482
0500000US05105,"Perry County, Arkansas",9957
0500000US05107,"Phillips County, Arkansas",16807
0500000US05109,"Pike County, Arkansas",10051
0500000US05111,"Poinsett County, Arkansas",22697
0500000US05113,"Polk County, Arkansas",19211
0500000US05115,"Pope County, Arkansas",59964
0500000US05117,"Prairie County, Arkansas",8079
0500000US05119,"Pulaski County, Arkansas",391464
0500000US05121,"Randolph County, Arkansas",18032
0500000US05123,"St. Francis County, Arkansas",20545
0500000US05125,"Saline County, Arkansas",120872
0500000US05127,"Scott County, Arkansas",9867
0500000US05129,"Searcy County, Arkansas",7777
0500000US05131,"Sebastian County, Arkansas",126057
0500000US05133,"Sevier County, Arkansas",15890
0500000US05135,"Sharp County, Arkansas",16975
0500000US05137,"Stone County, Arkansas",12271
0500000US05139,"Union County, Arkansas",38894
0500000US05141,"Van Buren County, Arkansas",15671
0500000US05143,"Washington County, Arkansas",234846
0500000US05145,"White County, Arkansas",73527
0500000US05147,"Woodruff County, Arkansas",6126
0500000US05149,"Yell County, Arkansas",20129
0500000US06001,"Alameda County, California",1646476
0500000US06003,"Alpine County, California",1344
0500000US06005,"Amador County, California",36573
0500000US06007,"Butte County, California",212593
0500000US06009,"Calaveras County, California",44927
0500000US06011,"Colusa County, California",21585
0500000US06013,"Contra Costa County, California",1152417
0500000US06015,"Del Norte County, California",24770
0500000US06017,"El Dorado County, California",188914
0500000US06019,"Fresno County, California",985123
0500000US06021,"Glenn County, California",28368
0500000US06023,"Humboldt County, California",133833
0500000US06025,"Imperial County, California",169729
0500000US06027,"Inyo County, California",18421
0500000US06029,"Kern County, California",874826
0500000US06031,"Kings County, California",137175
0500000US06033,"Lake County, California",66317
0500000US06035,"Lassen County, California",23043
0500000US06037,"Los Angeles County, California",9861892
0500000US06039,"Madera County, California",147824
0500000US06041,"Marin County, California",257160
0500000US06043,"Mariposa County, California",16999
0500000US06045,"Mendocino County, California",90015
0500000US06047,"Merced County, California",272659
0500000US06049,"Modoc County, California",8490
0500000US06051,"Mono County, California",13147
0500000US06053,"Monterey County, California",422014
0500000US06055,"Napa County, California",135811
0500000US06057,"Nevada County, California",100880
0500000US06059,"Orange County, California",3145848
0500000US06061,"Placer County, California",396956
